domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.irishtimes.com,0.10444694965528298,0.10918985416971533,0.36880000400833735,0.1279840760679514,9.0
www.israelnationalnews.com,0.05183291245791246,0.13272023843218475,0.380368265993266,0.23382547820785426,9.0
bleedingcool.com,0.07692792675431565,0.20521621094580342,0.3781778098444765,0.10418207054331807,9.0
www.sportingnews.com,0.2851885672198172,0.14817386847658154,0.49499969937469934,0.16652322557084093,8.0
www.rt.com,0.05127104377104376,0.07017472258719903,0.3798364598364598,0.13257085914433345,8.0
www.techdirt.com,0.15026289682539684,0.16237666002919254,0.5165181577681578,0.20265592790394107,8.0
www.newyorker.com,0.05268642258039579,0.09494870042161929,0.35485805117501545,0.18331969117826485,8.0
people.com,0.012892316017316025,0.11674957280155719,0.30840097402597405,0.15881670168145984,8.0
www.catholicnewsagency.com,0.13778108465608466,0.16198537484904207,0.4038690476190476,0.21566704906793754,8.0
consequence.net,-0.13776447510822507,0.35351379367773905,0.48391504329004326,0.24509174050993013,8.0
www.americanthinker.com,0.16267846736596736,0.20084245313115925,0.3808646561771562,0.289704882967781,8.0
extratv.com,-0.031433080808080806,0.22574650914619854,0.3410993867243867,0.16870004607194328,8.0
www.independent.ie,0.03644296675546675,0.15410424548353682,0.40632367632367633,0.20142362522291962,8.0
www.thenation.com,0.10790223665223665,0.3033549745368332,0.5400411856661856,0.27664709867085724,8.0
www.naturalnews.com,-0.011466063698206555,0.10838045867279807,0.2625876108018965,0.170211403947629,7.0
www.espn.com,0.033602865388579685,0.14478579475137102,0.37593812272383703,0.184666195358581,7.0
decider.com,0.09853174603174601,0.2366628083539091,0.46399385006527855,0.2431938091581675,7.0
www.thejournal.ie,0.0159367729775893,0.09965613840421658,0.2988600779417106,0.18360628517795244,7.0
uk.news.yahoo.com,0.0652116402116402,0.11484201333419312,0.24113756613756612,0.32210151756104527,7.0
comicbook.com,0.10910296846011132,0.14852527355962566,0.37838260152545866,0.13358613422347418,7.0
brobible.com,0.03934824434824435,0.14970580873944353,0.37265993265993264,0.2243960934927765,7.0
www.activistpost.com,-0.054991238919810344,0.17985250290800375,0.35102079468150904,0.3181661329566378,7.0
news.sky.com,-0.042343073593073585,0.19705484080079091,0.29109848484848483,0.24095100109531353,7.0
www.indiewire.com,0.22865635521885522,0.18167068233265585,0.5715435606060606,0.11935192015058671,6.0
www.motherjones.com,0.08906024531024531,0.12139321668500618,0.3396584896584896,0.2544460873505265,6.0
fortune.com,0.05503246753246754,0.0635030408324976,0.29114327801827805,0.15168669556311426,6.0
theintercept.com,0.10359397546897546,0.11130273706318938,0.34081589706589704,0.12735848314908682,6.0
rollingout.com,0.15758606362773028,0.1885435949810718,0.5681350902184236,0.2508129674357059,6.0
www.wired.com,0.025516424162257495,0.11707535027257585,0.28473655202821874,0.16176426779040207,6.0
www.realitytea.com,0.01682239057239057,0.1066469368048173,0.36095538720538717,0.14953161080844196,6.0
www.cnbc.com,0.09526587301587303,0.12431632649321399,0.4335634920634921,0.16402457003871831,5.0
politicalwire.com,0.10128571428571428,0.07459102400207417,0.5215714285714286,0.11568140822369334,5.0
wwd.com,0.162,0.23652108198260516,0.31066666666666665,0.2249771593345027,5.0
indianexpress.com,0.07093362193362193,0.066562170107166,0.23574170274170275,0.10070766064641937,5.0
www.techradar.com,0.18137425390266299,0.168763037579726,0.5341747015610652,0.16567351874315447,5.0
www.msnbc.com,0.18602693602693604,0.267155115016725,0.4351515151515152,0.27401066139066244,5.0
reason.com,0.11362680375180374,0.1401630904358414,0.3337169913419914,0.18709715815124975,5.0
geektyrant.com,0.09048384948384945,0.16661767513214099,0.48301087801087805,0.15517510452290775,5.0
whyevolutionistrue.com,0.16114521841794568,0.05945041122725586,0.3789689098780008,0.06359176439851782,5.0
www.thestar.com.my,0.2423042929292929,0.2188673494942491,0.572310606060606,0.23642738128873453,5.0
www.commondreams.org,0.12345238095238095,0.0809538884858074,0.3547949735449735,0.0953742974941623,5.0
www.newsbreak.com,0.09410714285714285,0.16234244716974433,0.34771825396825395,0.1300534698868294,5.0
